Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,7,5,24,518900,233900.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.512,0.5,7,5,24,372400,244000.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.256,0.5,7,5,24,374500,230000.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.128,0.5,7,5,24,370900,232900.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.064,0.5,7,5,24,427300,232400.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.032,0.5,7,5,24,373300,258600.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.016,0.5,7,5,24,512800,345800.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.008,0.5,7,5,24,425400,229100.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.004,0.5,7,5,24,662700,247300.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.002,0.5,7,5,24,407400,237100.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
0.001,0.5,7,5,24,431000,260000.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
5.0E-4,0.5,7,5,24,382300,228700.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
2.5E-4,0.5,7,5,24,701600,267900.0,530400,1.0017320798990454,1.0017387279541137,1.0016419254465354
1.25E-4,0.5,4,5,24,254600,279600.0,530400,1.0017537625688127,1.0017387279541137,1.0016419254465354
6.25E-5,0.5,4,5,24,242100,238400.0,530400,1.0017537625688127,1.0017387279541137,1.0016419254465354
3.125E-5,0.5,3,5,24,246600,277300.0,530400,1.0016969392877693,1.0017387279541137,1.0016419254465354
1.5625E-5,0.5,6,6,24,425700,346100.0,530400,1.001714838304867,1.001726967098754,1.0016419254465354
1.024,1.0128205128205128,40,42,903,1999000,1962300.0,13786500,1.157329367765264,1.1711119702991737,1.0210325298465692
0.512,1.0128205128205128,40,42,903,2193300,2004000.0,13786500,1.157329367765264,1.1711119702991737,1.0210325298465692
0.256,1.0128205128205128,40,42,903,2365700,2293500.0,13786500,1.157329367765264,1.1711119702991737,1.0210325298465692
0.128,1.0128205128205128,40,42,903,2124400,2393100.0,13786500,1.157329367765264,1.1711119702991737,1.0210325298465692
0.064,1.0128205128205128,3,42,903,269500,1953400.0,13786500,1.1064549838532793,1.1711119702991737,1.0210325298465692
0.032,1.0128205128205128,3,42,903,256100,2146600.0,13786500,1.1064549838532793,1.1711119702991737,1.0210325298465692
0.016,1.0128205128205128,3,42,903,276700,2004600.0,13786500,1.1000309762069607,1.1711119702991737,1.0210325298465692
0.008,1.0128205128205128,3,42,903,257500,2087100.0,13786500,1.1000309762069607,1.1711119702991737,1.0210325298465692
0.004,1.0128205128205128,3,42,903,267800,2100000.0,13786500,1.07439612664681,1.1711119702991737,1.0210325298465692
0.002,1.0128205128205128,3,42,903,292700,2364800.0,13786500,1.07439612664681,1.1711119702991737,1.0210325298465692
0.001,1.0128205128205128,3,42,903,261500,3105500.0,13786500,1.07439612664681,1.1711119702991737,1.0210325298465692
5.0E-4,1.0128205128205128,3,42,903,403400,3897800.0,13786500,1.07439612664681,1.1711119702991737,1.0210325298465692
2.5E-4,1.0128205128205128,88,42,903,4305800,1971200.0,13786500,1.1662635321695467,1.1711119702991737,1.0210325298465692
1.25E-4,1.0128205128205128,3,42,903,307700,2064400.0,13786500,1.0831353110084045,1.1711119702991737,1.0210325298465692
6.25E-5,1.0128205128205128,3,43,903,325900,2020800.0,13786500,1.0735433860817578,1.1710007994264493,1.0210325298465692
3.125E-5,1.0128205128205128,3,43,903,327700,2487900.0,13786500,1.0761012327288637,1.1710007994264493,1.0210325298465692
1.5625E-5,1.0128205128205128,51,51,903,2720700,2779600.0,13786500,1.1782929880500026,1.1705060667914977,1.0210325298465692
1.024,1.5256410256410255,1592,1508,8879,76436300,6.65499E7,127295100,0.004164681129840697,0.00413655137811475,0.004227326186731051
0.512,1.5256410256410255,1592,1508,8879,73576900,6.71489E7,127295100,0.004164681129840697,0.00413655137811475,0.004227326186731051
0.256,1.5256410256410255,1592,1508,8879,74264100,6.80767E7,127295100,0.004164681129840697,0.00413655137811475,0.004227326186731051
0.128,1.5256410256410255,1481,1508,8879,73155200,7.52958E7,127295100,0.004176586002918592,0.00413655137811475,0.004227326186731051
0.064,1.5256410256410255,1481,998,8879,77403100,5.1759E7,127295100,0.004176586002918592,0.004115311381885145,0.004227326186731051
0.032,1.5256410256410255,1481,998,8879,71025000,4.93104E7,127295100,0.004176586002918592,0.004115311381885145,0.004227326186731051
0.016,1.5256410256410255,1254,998,8879,63721700,5.69742E7,127295100,0.004146416340187864,0.004115311381885145,0.004227326186731051
0.008,1.5256410256410255,1586,998,8879,91607300,5.30335E7,127295100,0.004165887470552576,0.004115311381885145,0.004227326186731051
0.004,1.5256410256410255,1607,1053,8879,83998800,5.16693E7,127295100,0.0041431349499609915,0.004141226102461815,0.004227326186731051
0.002,1.5256410256410255,1607,1235,8879,96442900,6.77232E7,127295100,0.0041431349499609915,0.004146781918319964,0.004227326186731051
0.001,1.5256410256410255,1456,992,8879,72050800,4.74663E7,127295100,0.004171231487658078,0.004131899017534857,0.004227326186731051
5.0E-4,1.5256410256410255,1456,1128,8879,67114000,5.38922E7,127295100,0.004171231487658078,0.004129818555481779,0.004227326186731051
2.5E-4,1.5256410256410255,1653,1226,8879,76205800,5.49603E7,127295100,0.00416321802423314,0.004102110588539043,0.004227326186731051
1.25E-4,1.5256410256410255,1668,2344,8879,78852700,1.044139E8,127295100,0.004158610391533424,0.004164632616548092,0.004227326186731051
6.25E-5,1.5256410256410255,1565,2724,8879,72063600,1.265752E8,127295100,0.004173650053837963,0.004178005343079438,0.004227326186731051
3.125E-5,1.5256410256410255,1262,2722,8879,59326900,1.226861E8,127295100,0.004139126601418797,0.0041651323291952425,0.004227326186731051
1.5625E-5,1.5256410256410255,1613,2721,8879,84125600,1.291687E8,127295100,0.004134408677703205,0.0041553735895468735,0.004227326186731051
1.024,2.0384615384615383,1103,1028,6783,50964500,4.91603E7,96275600,0.0020404715696999975,0.0020429455863073542,0.0020538103293066268
0.512,2.0384615384615383,1103,1028,6783,52014100,4.6406E7,96275600,0.0020404715696999975,0.0020429455863073542,0.0020538103293066268
0.256,2.0384615384615383,1103,1028,6783,52218200,5.0071E7,96275600,0.0020404715696999975,0.0020429455863073542,0.0020538103293066268
0.128,2.0384615384615383,1013,1028,6783,45729300,4.96975E7,96275600,0.00202741411107632,0.0020429455863073542,0.0020538103293066268
0.064,2.0384615384615383,1013,1131,6783,48262700,5.46975E7,96275600,0.00202741411107632,0.0020052434485248183,0.0020538103293066268
0.032,2.0384615384615383,1013,1131,6783,47469900,4.8949E7,96275600,0.00202741411107632,0.0020052434485248183,0.0020538103293066268
0.016,2.0384615384615383,1147,1131,6783,54589400,6.2939E7,96275600,0.0020226119927746478,0.0020052434485248183,0.0020538103293066268
0.008,2.0384615384615383,1147,1131,6783,68134100,6.41211E7,96275600,0.0020226119927746478,0.0020052434485248183,0.0020538103293066268
0.004,2.0384615384615383,1147,1131,6783,71946900,6.89645E7,96275600,0.0020226119927746478,0.0020052434485248183,0.0020538103293066268
0.002,2.0384615384615383,981,1131,6783,54672700,7.28901E7,96275600,0.002035249895118052,0.0020052434485248183,0.0020538103293066268
0.001,2.0384615384615383,1081,979,6783,73489200,7.29212E7,96275600,0.0020175628948750912,0.0020071970023398666,0.0020538103293066268
5.0E-4,2.0384615384615383,1159,962,6783,84186300,6.04426E7,96275600,0.0020398218553316916,0.0020153936929279137,0.0020538103293066268
2.5E-4,2.0384615384615383,1140,1043,6783,68088500,6.15821E7,96275600,0.002014297591029446,0.0020155117598491534,0.0020538103293066268
1.25E-4,2.0384615384615383,1025,1028,6783,60079100,6.07923E7,96275600,0.0020441277095982757,0.002003776091044629,0.0020538103293066268
6.25E-5,2.0384615384615383,1199,1077,6783,66191500,5.71149E7,96275600,0.0020041116254568836,0.0020008195980051324,0.0020538103293066268
3.125E-5,2.0384615384615383,1129,1076,6783,64935900,5.32404E7,96275600,0.0020211395036093815,0.0020184823804015872,0.0020538103293066268
1.5625E-5,2.0384615384615383,1030,1089,6783,61026300,5.6531E7,96275600,0.0020060615208478128,0.0020122536705524663,0.0020538103293066268
1.024,2.551282051282051,1025,934,6355,48325600,4.19594E7,93257300,0.0012509724907812103,0.0012446522745622746,0.0012416699920849705
0.512,2.551282051282051,1025,934,6355,47926200,4.25448E7,93257300,0.0012509724907812103,0.0012446522745622746,0.0012416699920849705
0.256,2.551282051282051,1025,934,6355,48105700,4.17477E7,93257300,0.0012509724907812103,0.0012446522745622746,0.0012416699920849705
0.128,2.551282051282051,1025,934,6355,47244200,4.61839E7,93257300,0.0012509724907812103,0.0012446522745622746,0.0012416699920849705
0.064,2.551282051282051,989,770,6355,46982200,3.66482E7,93257300,0.0012112935981767325,0.0012209866709076422,0.0012416699920849705
0.032,2.551282051282051,1011,770,6355,47828100,3.69E7,93257300,0.0012361419085361591,0.0012209866709076422,0.0012416699920849705
0.016,2.551282051282051,917,770,6355,42179100,3.48859E7,93257300,0.0012247769487561122,0.0012209866709076422,0.0012416699920849705
0.008,2.551282051282051,956,828,6355,45714200,4.03643E7,93257300,0.0012082345250751247,0.0012063867527370986,0.0012416699920849705
0.004,2.551282051282051,956,676,6355,44526200,3.12132E7,93257300,0.0012082345250751247,0.001219633428343414,0.0012416699920849705
0.002,2.551282051282051,931,732,6355,45625900,3.37084E7,93257300,0.0012178398773173837,0.0011935953099688756,0.0012416699920849705
0.001,2.551282051282051,1086,815,6355,51941400,3.72886E7,93257300,0.001241286200397651,0.0012168569936855667,0.0012416699920849705
5.0E-4,2.551282051282051,1055,790,6355,49431300,3.76387E7,93257300,0.001212868893057939,0.0012151069732669884,0.0012416699920849705
2.5E-4,2.551282051282051,1111,752,6355,54338600,3.84579E7,93257300,0.001209463547958034,0.0012061060482208008,0.0012416699920849705
1.25E-4,2.551282051282051,1063,850,6355,78936800,6.55707E7,93257300,0.0012123480882740845,0.0012076733618333613,0.0012416699920849705
6.25E-5,2.551282051282051,1144,794,6355,83777600,5.39443E7,93257300,0.001204475299653951,0.0012001637211109806,0.0012416699920849705
3.125E-5,2.551282051282051,1159,817,6355,70982100,4.52448E7,93257300,0.0012084659642459528,0.0011995188110520694,0.0012416699920849705
1.5625E-5,2.551282051282051,923,817,6355,57084900,4.60884E7,93257300,0.001223395092556645,0.0012020578283633565,0.0012416699920849705
