Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,4,8,25,330600,1442700.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.512,0.5,4,8,25,257200,343900.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.256,0.5,4,8,25,232100,325200.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.128,0.5,4,8,25,407900,379300.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.064,0.5,4,8,25,354900,520100.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.032,0.5,4,8,25,252400,347900.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.016,0.5,4,8,25,226900,332900.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.008,0.5,4,8,25,257700,410700.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.004,0.5,4,8,25,379900,390200.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.002,0.5,4,8,25,351100,371100.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
0.001,0.5,4,8,25,308300,466800.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
5.0E-4,0.5,4,8,25,307800,357900.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
2.5E-4,0.5,4,8,25,440400,358600.0,556200,1.0015422876859665,1.001532368304511,1.0014769815766857
1.25E-4,0.5,4,8,25,303200,824800.0,556200,1.0015448096073116,1.001532368304511,1.0014769815766857
6.25E-5,0.5,4,8,25,481100,662800.0,556200,1.0015448096073116,1.001532368304511,1.0014769815766857
3.125E-5,0.5,3,5,25,355200,437700.0,556200,1.0015272453589923,1.0015800634758565,1.0014769815766857
1.5625E-5,0.5,6,5,25,427200,261900.0,556200,1.0015433544743804,1.0015800634758565,1.0014769815766857
1.024,1.0128205128205128,108,3,1033,5400800,247600.0,19295100,1.1410214994565115,1.069014918295042,1.019436956775137
0.512,1.0128205128205128,108,3,1033,6570100,232700.0,19295100,1.1410214994565115,1.069014918295042,1.019436956775137
0.256,1.0128205128205128,108,3,1033,7004500,202800.0,19295100,1.1410214994565115,1.069014918295042,1.019436956775137
0.128,1.0128205128205128,108,3,1033,7106600,203100.0,19295100,1.1410214994565115,1.069014918295042,1.019436956775137
0.064,1.0128205128205128,108,3,1033,6416100,506600.0,19295100,1.1410214994565115,1.069014918295042,1.019436956775137
0.032,1.0128205128205128,3,3,1033,328300,276300.0,19295100,1.0786298360532933,1.069014918295042,1.019436956775137
0.016,1.0128205128205128,3,3,1033,475300,206900.0,19295100,1.0786298360532933,1.069014918295042,1.019436956775137
0.008,1.0128205128205128,3,3,1033,372100,347800.0,19295100,1.0786298360532933,1.069014918295042,1.019436956775137
0.004,1.0128205128205128,3,3,1033,390900,262500.0,19295100,1.0786298360532933,1.069014918295042,1.019436956775137
0.002,1.0128205128205128,3,3,1033,270700,201800.0,19295100,1.0786298360532933,1.069014918295042,1.019436956775137
0.001,1.0128205128205128,3,3,1033,295600,187900.0,19295100,1.0786298360532933,1.069014918295042,1.019436956775137
5.0E-4,1.0128205128205128,3,3,1033,514900,405200.0,19295100,1.0728298922521773,1.069014918295042,1.019436956775137
2.5E-4,1.0128205128205128,3,3,1033,307400,212900.0,19295100,1.0805630881387895,1.069014918295042,1.019436956775137
1.25E-4,1.0128205128205128,45,3,1033,2728200,253000.0,19295100,1.1779524230399336,1.069014918295042,1.019436956775137
6.25E-5,1.0128205128205128,3,3,1033,511900,389900.0,19295100,1.0731403124468697,1.069014918295042,1.019436956775137
3.125E-5,1.0128205128205128,3,3,1033,366000,195500.0,19295100,1.0754384469670213,1.069014918295042,1.019436956775137
1.5625E-5,1.0128205128205128,3,3,1033,337500,294500.0,19295100,1.0754384469670213,1.069014918295042,1.019436956775137
1.024,1.5256410256410255,1853,1625,9991,106250000,8.31341E7,175691100,0.003696031449665349,0.0037095064910934727,0.0037780113224488154
0.512,1.5256410256410255,1853,1625,9991,82152500,7.52319E7,175691100,0.003696031449665349,0.0037095064910934727,0.0037780113224488154
0.256,1.5256410256410255,1853,1625,9991,82050200,7.45059E7,175691100,0.003696031449665349,0.0037095064910934727,0.0037780113224488154
0.128,1.5256410256410255,1853,1625,9991,82378800,8.63113E7,175691100,0.003696031449665349,0.0037095064910934727,0.0037780113224488154
0.064,1.5256410256410255,1795,1625,9991,90950300,8.29103E7,175691100,0.003717858030711896,0.0037095064910934727,0.0037780113224488154
0.032,1.5256410256410255,1795,1625,9991,88669200,7.5985E7,175691100,0.003717858030711896,0.0037095064910934727,0.0037780113224488154
0.016,1.5256410256410255,1795,1625,9991,89300100,8.03662E7,175691100,0.003717858030711896,0.0037095064910934727,0.0037780113224488154
0.008,1.5256410256410255,1777,1625,9991,79778200,7.46129E7,175691100,0.0037197148730698792,0.0037095064910934727,0.0037780113224488154
0.004,1.5256410256410255,1914,1625,9991,91608500,7.78966E7,175691100,0.0037048653801059483,0.0037095064910934727,0.0037780113224488154
0.002,1.5256410256410255,1914,1625,9991,83692800,7.46246E7,175691100,0.0037048653801059483,0.0037095064910934727,0.0037780113224488154
