Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,3,3,107,343300,157100.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.512,0.5,3,3,107,201700,153400.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.256,0.5,3,3,107,239200,153300.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.128,0.5,3,3,107,220600,158300.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.064,0.5,3,3,107,204600,192100.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.032,0.5,3,3,107,269900,165600.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.016,0.5,3,3,107,288400,204700.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.008,0.5,3,3,107,202900,152500.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.004,0.5,3,3,107,197100,152200.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.002,0.5,3,3,107,199200,172900.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
0.001,0.5,3,3,107,201500,153800.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
5.0E-4,0.5,3,3,107,205000,153900.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
2.5E-4,0.5,3,3,107,205300,152700.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
1.25E-4,0.5,3,3,107,198000,152800.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
6.25E-5,0.5,3,3,107,212700,176500.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
3.125E-5,0.5,3,3,107,211100,156200.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
1.5625E-5,0.5,3,3,107,197200,231000.0,1741200,0.8557304959111036,0.8627467082366713,0.9888136285393702
1.024,1.0128205128205128,27,17,1950,1533300,995500.0,28076400,0.0024781401095410605,0.002503950561698831,0.00252100569061553
0.512,1.0128205128205128,121,17,1950,6337600,1044800.0,28076400,0.0025002387262520465,0.002503950561698831,0.00252100569061553
0.256,1.0128205128205128,103,68,1950,5390300,3711500.0,28076400,0.0024829225834351876,0.002499048476597543,0.00252100569061553
0.128,1.0128205128205128,27,68,1950,1689400,5282500.0,28076400,0.0025031601759019084,0.0024895724954834275,0.00252100569061553
0.064,1.0128205128205128,52,68,1950,3022500,3479100.0,28076400,0.0025076805877930486,0.0024895724954834275,0.00252100569061553
0.032,1.0128205128205128,54,68,1950,3171000,3625300.0,28076400,0.0024999737385726917,0.0024895724954834275,0.00252100569061553
0.016,1.0128205128205128,51,83,1950,3373600,4262500.0,28076400,0.002498586676612846,0.0024992012436112487,0.00252100569061553
0.008,1.0128205128205128,58,83,1950,3414300,4355500.0,28076400,0.0025107731587942217,0.0024992012436112487,0.00252100569061553
0.004,1.0128205128205128,56,83,1950,3425400,4299300.0,28076400,0.002513026335293045,0.0024992012436112487,0.00252100569061553
0.002,1.0128205128205128,112,83,1950,6292600,4302700.0,28076400,0.0024928885034597448,0.0024992012436112487,0.00252100569061553
0.001,1.0128205128205128,113,83,1950,5994400,4090800.0,28076400,0.0025131811239027524,0.0024992012436112487,0.00252100569061553
5.0E-4,1.0128205128205128,115,83,1950,6078200,4356400.0,28076400,0.002499739603826545,0.0024992012436112487,0.00252100569061553
2.5E-4,1.0128205128205128,139,83,1950,7947500,5475300.0,28076400,0.0025087188650637637,0.00248908816066451,0.00252100569061553
1.25E-4,1.0128205128205128,104,87,1950,6673700,4579500.0,28076400,0.0024987645203263797,0.0024873597168492134,0.00252100569061553
6.25E-5,1.0128205128205128,103,86,1950,6150400,4583100.0,28076400,0.002501016453563376,0.002501571352395704,0.00252100569061553
