Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,3,3,96,199700,155200.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.512,0.5,3,3,96,324400,154300.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.256,0.5,3,3,96,218600,152400.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.128,0.5,3,3,96,209800,156400.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.064,0.5,3,3,96,268500,222200.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.032,0.5,3,3,96,230600,158300.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.016,0.5,3,3,96,436800,228300.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.008,0.5,3,3,96,254200,171500.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.004,0.5,3,3,96,253700,152600.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.002,0.5,3,3,96,202600,155000.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
0.001,0.5,3,3,96,241900,154900.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
5.0E-4,0.5,3,3,96,274400,160900.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
2.5E-4,0.5,3,3,96,219700,155400.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
1.25E-4,0.5,3,3,96,209900,242800.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
6.25E-5,0.5,3,3,96,211200,170600.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
3.125E-5,0.5,3,3,96,226400,157400.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
1.5625E-5,0.5,3,3,96,348900,240400.0,1452400,0.8376968078999916,0.8455900467662553,0.9876518216202356
1.024,1.0128205128205128,67,96,1732,3933600,4342700.0,25471700,0.0028006607413233464,0.0027875540905842877,0.0028400949937341657
0.512,1.0128205128205128,67,96,1732,3339000,4412000.0,25471700,0.0028006607413233464,0.0027875540905842877,0.0028400949937341657
0.256,1.0128205128205128,67,96,1732,3250400,4155900.0,25471700,0.0028006607413233464,0.0027875540905842877,0.0028400949937341657
0.128,1.0128205128205128,76,96,1732,3523500,5902900.0,25471700,0.0028218295120227,0.0027875540905842877,0.0028400949937341657
0.064,1.0128205128205128,71,96,1732,3635200,4331100.0,25471700,0.0027943791798715756,0.0027875540905842877,0.0028400949937341657
0.032,1.0128205128205128,44,105,1732,2385800,4627300.0,25471700,0.0028100281699459106,0.002807756371406289,0.0028400949937341657
0.016,1.0128205128205128,44,105,1732,2196600,4811500.0,25471700,0.0028100281699459106,0.002807756371406289,0.0028400949937341657
0.008,1.0128205128205128,51,105,1732,2372200,4687700.0,25471700,0.002806371274465258,0.002807756371406289,0.0028400949937341657
0.004,1.0128205128205128,105,105,1732,4767600,5043200.0,25471700,0.0028200307300981775,0.002807756371406289,0.0028400949937341657
0.002,1.0128205128205128,104,105,1732,5096100,4653700.0,25471700,0.0027835308854563534,0.002807756371406289,0.0028400949937341657
0.001,1.0128205128205128,104,105,1732,4720600,4845500.0,25471700,0.0027835308854563534,0.002807756371406289,0.0028400949937341657
5.0E-4,1.0128205128205128,106,107,1732,5052400,4974700.0,25471700,0.0027955089438844727,0.0027973704011109435,0.0028400949937341657
2.5E-4,1.0128205128205128,126,109,1732,6387800,4943800.0,25471700,0.0028179537764483342,0.0028141587627594777,0.0028400949937341657
1.25E-4,1.0128205128205128,91,109,1732,4503200,5527900.0,25471700,0.002797572124493386,0.002806045638672372,0.0028400949937341657
6.25E-5,1.0128205128205128,124,109,1732,6765400,5225400.0,25471700,0.0027951242123274156,0.002806048539474859,0.0028400949937341657
3.125E-5,1.0128205128205128,135,111,1732,7707900,5598900.0,25471700,0.0028109502125956976,0.00280323174363184,0.0028400949937341657
1.5625E-5,1.0128205128205128,98,111,1732,5543000,6442000.0,25471700,0.002794081181559216,0.00280323174363184,0.0028400949937341657
1.024,1.5256410256410255,73,69,1602,4297400,3650900.0,26891900,0.001379645362559967,0.0013817736071509712,0.0013892792307900192
0.512,1.5256410256410255,73,69,1602,3857300,3637500.0,26891900,0.001379645362559967,0.0013817736071509712,0.0013892792307900192
0.256,1.5256410256410255,70,88,1602,3551700,4272800.0,26891900,0.0013783738637321852,0.0013948862154969932,0.0013892792307900192
0.128,1.5256410256410255,50,88,1602,2734200,4330800.0,26891900,0.0013848581981793506,0.0013948862154969932,0.0013892792307900192
0.064,1.5256410256410255,80,88,1602,4417100,4105800.0,26891900,0.0013810075099384145,0.0013948862154969932,0.0013892792307900192
0.032,1.5256410256410255,52,88,1602,2878800,4603300.0,26891900,0.0013895704303257261,0.0013948862154969932,0.0013892792307900192
0.016,1.5256410256410255,70,88,1602,3389400,4162900.0,26891900,0.0013789277836242508,0.0013948862154969932,0.0013892792307900192
0.008,1.5256410256410255,76,88,1602,3966100,4348500.0,26891900,0.0013855233397067623,0.0013948862154969932,0.0013892792307900192
0.004,1.5256410256410255,87,88,1602,4474700,4456500.0,26891900,0.0013913271443605213,0.0013948862154969932,0.0013892792307900192
0.002,1.5256410256410255,95,88,1602,4588300,4420500.0,26891900,0.0013905030526694118,0.0013948862154969932,0.0013892792307900192
0.001,1.5256410256410255,94,88,1602,5182600,4422500.0,26891900,0.0013814927800270826,0.0013948862154969932,0.0013892792307900192
5.0E-4,1.5256410256410255,111,89,1602,6687600,4361900.0,26891900,0.0013722161276376044,0.0013797750766340044,0.0013892792307900192
2.5E-4,1.5256410256410255,113,105,1602,6243400,6148400.0,26891900,0.0013818299932657485,0.0013934774107643433,0.0013892792307900192
1.25E-4,1.5256410256410255,101,105,1602,5838500,5457700.0,26891900,0.001377776381036977,0.001388240679751629,0.0013892792307900192
6.25E-5,1.5256410256410255,105,106,1602,7376100,5834400.0,26891900,0.0013868369298375427,0.0013915092661591633,0.0013892792307900192
3.125E-5,1.5256410256410255,117,106,1602,12963000,6356600.0,26891900,0.0013929842334235998,0.0013797595033984145,0.0013892792307900192
1.5625E-5,1.5256410256410255,120,107,1602,12159400,6917900.0,26891900,0.0013867030541430125,0.0013915681716095696,0.0013892792307900192
1.024,2.0384615384615383,71,23,1717,3503200,1244600.0,27206200,8.349085146669433E-4,8.333633788066841E-4,8.391641855911569E-4
0.512,2.0384615384615383,71,23,1717,3470700,1325600.0,27206200,8.349085146669433E-4,8.333633788066841E-4,8.391641855911569E-4
0.256,2.0384615384615383,29,62,1717,1599500,3460800.0,27206200,8.41682863149229E-4,8.395227706126107E-4,8.391641855911569E-4
0.128,2.0384615384615383,68,62,1717,3497600,3669600.0,27206200,8.326578896823422E-4,8.395227706126107E-4,8.391641855911569E-4
0.064,2.0384615384615383,72,62,1717,3876800,3513100.0,27206200,8.361504562492961E-4,8.395227706126107E-4,8.391641855911569E-4
0.032,2.0384615384615383,77,62,1717,3683400,3034300.0,27206200,8.416141956243406E-4,8.395227706126107E-4,8.391641855911569E-4
0.016,2.0384615384615383,77,62,1717,4304300,3112900.0,27206200,8.416141956243406E-4,8.395227706126107E-4,8.391641855911569E-4
0.008,2.0384615384615383,82,62,1717,4169000,3001900.0,27206200,8.325755521432221E-4,8.395227706126107E-4,8.391641855911569E-4
0.004,2.0384615384615383,85,65,1717,4139400,3198900.0,27206200,8.384428002620181E-4,8.335184067440604E-4,8.391641855911569E-4
0.002,2.0384615384615383,89,67,1717,4372500,3724300.0,27206200,8.358838540700742E-4,8.320227717352191E-4,8.391641855911569E-4
0.001,2.0384615384615383,102,67,1717,5532600,4244900.0,27206200,8.414342394706953E-4,8.320227717352191E-4,8.391641855911569E-4
5.0E-4,2.0384615384615383,122,75,1717,6472000,3792200.0,27206200,8.307975080446006E-4,8.352822605642851E-4,8.391641855911569E-4
2.5E-4,2.0384615384615383,120,86,1717,6105200,6270100.0,27206200,8.341959007900357E-4,8.368408389513027E-4,8.391641855911569E-4
1.25E-4,2.0384615384615383,126,83,1717,7764500,4598900.0,27206200,8.359151419954358E-4,8.319925376260029E-4,8.391641855911569E-4
6.25E-5,2.0384615384615383,118,86,1717,7410000,4432800.0,27206200,8.407307856301838E-4,8.352767484136603E-4,8.391641855911569E-4
3.125E-5,2.0384615384615383,120,84,1717,10662800,5680400.0,27206200,8.356520644086096E-4,8.403301977988331E-4,8.391641855911569E-4
1.5625E-5,2.0384615384615383,126,84,1717,12630700,4820700.0,27206200,8.314032563112583E-4,8.403301977988331E-4,8.391641855911569E-4
1.024,2.551282051282051,104,70,1876,5947300,3459800.0,28705100,5.875618146378159E-4,5.926207831841168E-4,5.92657019611198E-4
0.512,2.551282051282051,104,70,1876,6701400,4220600.0,28705100,5.875618146378159E-4,5.926207831841168E-4,5.92657019611198E-4
0.256,2.551282051282051,101,70,1876,6462600,3864600.0,28705100,5.877521484890513E-4,5.926207831841168E-4,5.92657019611198E-4
0.128,2.551282051282051,117,70,1876,6107100,3508300.0,28705100,5.927447636537853E-4,5.926207831841168E-4,5.92657019611198E-4
0.064,2.551282051282051,49,70,1876,2756700,3755200.0,28705100,5.917150010076311E-4,5.926207831841168E-4,5.92657019611198E-4
0.032,2.551282051282051,49,70,1876,3165500,3596200.0,28705100,5.917150010076311E-4,5.926207831841168E-4,5.92657019611198E-4
0.016,2.551282051282051,54,70,1876,2897100,3529600.0,28705100,5.926707373301587E-4,5.926207831841168E-4,5.92657019611198E-4
0.008,2.551282051282051,41,70,1876,2260000,3701900.0,28705100,5.893464712748431E-4,5.926207831841168E-4,5.92657019611198E-4
0.004,2.551282051282051,47,79,1876,2899500,6357400.0,28705100,5.86459468758127E-4,5.909563759757264E-4,5.92657019611198E-4
0.002,2.551282051282051,57,79,1876,3838800,4339900.0,28705100,5.905866534374749E-4,5.909563759757264E-4,5.92657019611198E-4
0.001,2.551282051282051,117,79,1876,7956900,4524800.0,28705100,5.902635256673783E-4,5.909563759757264E-4,5.92657019611198E-4
5.0E-4,2.551282051282051,102,84,1876,5726900,4990200.0,28705100,5.912584743499316E-4,5.917131946963083E-4,5.92657019611198E-4
2.5E-4,2.551282051282051,138,107,1876,7378600,5871900.0,28705100,5.95126261334844E-4,5.876551471257763E-4,5.92657019611198E-4
1.25E-4,2.551282051282051,136,107,1876,8943600,6449600.0,28705100,5.897562572633186E-4,5.898054455280022E-4,5.92657019611198E-4
6.25E-5,2.551282051282051,135,107,1876,10045800,6556300.0,28705100,5.929544946342569E-4,5.898054455280022E-4,5.92657019611198E-4
3.125E-5,2.551282051282051,134,108,1876,12316300,7312400.0,28705100,5.921721598064478E-4,5.901693752755621E-4,5.92657019611198E-4
