Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,4,4,112,252200,509000.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.512,0.5,4,4,112,245600,202000.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.256,0.5,4,4,112,244900,207200.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.128,0.5,4,4,112,247400,197800.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.064,0.5,4,4,112,247600,200100.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.032,0.5,4,4,112,255000,197400.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.016,0.5,4,4,112,272200,196700.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.008,0.5,4,4,112,249700,198500.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.004,0.5,4,4,112,247800,194800.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.002,0.5,4,4,112,255800,198600.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
0.001,0.5,4,4,112,249000,210900.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
5.0E-4,0.5,4,4,112,253400,195800.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
2.5E-4,0.5,4,4,112,245700,207900.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
1.25E-4,0.5,4,4,112,248600,197300.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
6.25E-5,0.5,4,4,112,246200,197200.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
3.125E-5,0.5,4,4,112,246600,195500.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
1.5625E-5,0.5,5,4,112,328900,207800.0,1585000,0.429668616756663,0.43947478464884543,0.4948140745107118
1.024,1.0128205128205128,376,517,2895,16588800,2.21236E7,40273500,0.19046757885461207,0.188898373918562,0.19130351304763538
0.512,1.0128205128205128,376,517,2895,16520800,2.22581E7,40273500,0.19046757885461207,0.188898373918562,0.19130351304763538
0.256,1.0128205128205128,376,517,2895,18165400,2.22949E7,40273500,0.19046757885461207,0.188898373918562,0.19130351304763538
0.128,1.0128205128205128,376,517,2895,16323500,2.21537E7,40273500,0.19046757885461207,0.188898373918562,0.19130351304763538
0.064,1.0128205128205128,12631,517,2895,573772100,2.27326E7,40273500,0.050920302327306266,0.188898373918562,0.19130351304763538
0.032,1.0128205128205128,11679,517,2895,538064400,2.23889E7,40273500,0.04395157878569372,0.188898373918562,0.19130351304763538
0.016,1.0128205128205128,11679,517,2895,532183500,2.19774E7,40273500,0.04395157878569372,0.188898373918562,0.19130351304763538
