Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,5,4,173,664100,555000.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.512,0.5,5,4,173,454800,328100.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.256,0.5,5,4,173,439300,337700.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.128,0.5,5,4,173,537900,246000.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.064,0.5,5,4,173,351800,218800.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.032,0.5,5,4,173,438800,360500.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.016,0.5,5,4,173,351100,235700.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.008,0.5,5,4,173,379900,204200.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.004,0.5,5,4,173,310600,226000.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.002,0.5,5,4,173,450700,359700.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
0.001,0.5,5,4,173,363900,419800.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
5.0E-4,0.5,5,4,173,578900,380000.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
2.5E-4,0.5,5,4,173,563700,567100.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
1.25E-4,0.5,5,4,173,421800,270000.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
6.25E-5,0.5,5,4,173,435700,328200.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
3.125E-5,0.5,5,4,173,429100,303200.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
1.5625E-5,0.5,5,4,173,905900,708300.0,2632000,0.4560428854729144,0.4581806376658608,0.4964933854500276
1.024,1.0128205128205128,37776,37922,105118,2129864100,2.149412E9,1893042800,0.0017579384831205025,0.0012689833077004775,0.07770205913469197
0.512,1.0128205128205128,37776,37922,105118,2279390600,2.1403428E9,1893042800,0.0017579384831205025,0.0012689833077004775,0.07770205913469197
0.256,1.0128205128205128,37776,37922,105118,2119975000,2.4058975E9,1893042800,0.0017579384831205025,0.0012689833077004775,0.07770205913469197
0.128,1.0128205128205128,17757,37922,105118,1095005400,2.1695646E9,1893042800,0.07640902817432015,0.0012689833077004775,0.07770205913469197
0.064,1.0128205128205128,38575,15703,105118,2363668300,1.042755E9,1893042800,0.001771740350664408,0.07660467070765654,0.07770205913469197
0.032,1.0128205128205128,42222,15703,105118,2502850200,9.064155E8,1893042800,0.0013026926426145113,0.07660467070765654,0.07770205913469197
0.016,1.0128205128205128,17336,15703,105118,1042245200,9.156922E8,1893042800,0.0772607559463917,0.07660467070765654,0.07770205913469197
0.008,1.0128205128205128,37819,15703,105118,2339133600,8.707053E8,1893042800,0.002430165338151602,0.07660467070765654,0.07770205913469197
0.004,1.0128205128205128,43762,15703,105118,2453720100,8.860381E8,1893042800,0.002405260033062656,0.07660467070765654,0.07770205913469197
0.002,1.0128205128205128,36232,15703,105118,2176942400,9.230523E8,1893042800,0.004123603089161709,0.07660467070765654,0.07770205913469197
0.001,1.0128205128205128,36230,38308,105118,2102918800,2.220832E9,1893042800,0.0017561380926634784,0.001531659822674697,0.07770205913469197
5.0E-4,1.0128205128205128,43607,38308,105118,2734565800,2.1694832E9,1893042800,0.001306347662386631,0.001531659822674697,0.07770205913469197
2.5E-4,1.0128205128205128,38036,38308,105118,2159941800,2.3773372E9,1893042800,0.001756283381965179,0.001531659822674697,0.07770205913469197
1.25E-4,1.0128205128205128,38003,38120,105118,2255291000,2.0588354E9,1893042800,0.0017463974378471026,0.0012758434368326799,0.07770205913469197
6.25E-5,1.0128205128205128,37855,15557,105118,2177692800,9.719778E8,1893042800,0.002554958707691929,0.07733062248406722,0.07770205913469197
3.125E-5,1.0128205128205128,37648,15509,105118,2161280500,8.779017E8,1893042800,0.003033332829324026,0.07750294021372299,0.07770205913469197
1.5625E-5,1.0128205128205128,36776,16559,105118,2089640800,9.410757E8,1893042800,0.003116294995005181,0.07313950398358704,0.07770205913469197
1.024,1.5256410256410255,1657,1681,12457,117196300,1.12709E8,268517900,2.8382753912137293E-4,2.813549246403757E-4,2.8624932071935616E-4
0.512,1.5256410256410255,1657,1681,12457,126000400,1.293039E8,268517900,2.8382753912137293E-4,2.813549246403757E-4,2.8624932071935616E-4
0.256,1.5256410256410255,1657,1681,12457,109964000,1.111383E8,268517900,2.8382753912137293E-4,2.813549246403757E-4,2.8624932071935616E-4
0.128,1.5256410256410255,1657,1681,12457,91399500,1.015444E8,268517900,2.8382753912137293E-4,2.813549246403757E-4,2.8624932071935616E-4
0.064,1.5256410256410255,2203,1639,12457,118605300,9.21867E7,268517900,2.839446329446216E-4,2.8196176960787467E-4,2.8624932071935616E-4
0.032,1.5256410256410255,2203,1639,12457,118014200,9.11734E7,268517900,2.839446329446216E-4,2.8196176960787467E-4,2.8624932071935616E-4
0.016,1.5256410256410255,2102,1639,12457,115009900,1.072459E8,268517900,2.821369398743334E-4,2.8196176960787467E-4,2.8624932071935616E-4
0.008,1.5256410256410255,2102,1639,12457,117318000,9.33522E7,268517900,2.821369398743334E-4,2.8196176960787467E-4,2.8624932071935616E-4
