Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,4,4,127,251600,193700.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.512,0.5,4,4,127,248200,192200.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.256,0.5,4,4,127,242000,195500.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.128,0.5,4,4,127,330100,216200.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.064,0.5,4,4,127,243500,196500.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.032,0.5,4,4,127,239200,194800.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.016,0.5,4,4,127,245000,204000.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.008,0.5,4,4,127,238900,190600.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.004,0.5,4,4,127,243700,226800.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.002,0.5,4,4,127,245900,193400.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
0.001,0.5,4,4,127,241200,190900.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
5.0E-4,0.5,4,4,127,238000,198600.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
2.5E-4,0.5,4,4,127,238600,190900.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
1.25E-4,0.5,4,4,127,248000,192000.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
6.25E-5,0.5,4,4,127,262900,199100.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
3.125E-5,0.5,4,4,127,409200,358900.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
1.5625E-5,0.5,5,4,127,337300,206200.0,1905200,0.43846003966208014,0.4414528927322051,0.495358857864133
1.024,1.0128205128205128,13728,12338,3473,645485100,5.871914E8,48732100,0.06022992603709226,0.059442373583983105,0.1914385473980238
0.512,1.0128205128205128,13728,12338,3473,642594500,6.515337E8,48732100,0.06022992603709226,0.059442373583983105,0.1914385473980238
0.256,1.0128205128205128,13728,12338,3473,660091000,7.180038E8,48732100,0.06022992603709226,0.059442373583983105,0.1914385473980238
0.128,1.0128205128205128,13728,12338,3473,785977000,6.082934E8,48732100,0.06022992603709226,0.059442373583983105,0.1914385473980238
0.064,1.0128205128205128,13728,12338,3473,670508700,5.833902E8,48732100,0.06022992603709226,0.059442373583983105,0.1914385473980238
0.032,1.0128205128205128,13728,12338,3473,648369000,5.78347E8,48732100,0.06022992603709226,0.059442373583983105,0.1914385473980238
0.016,1.0128205128205128,14078,12338,3473,653987300,5.879665E8,48732100,0.058857277972730215,0.059442373583983105,0.1914385473980238
0.008,1.0128205128205128,13962,867,3473,753995400,3.85157E7,48732100,0.05929831505064259,0.18606324447835992,0.1914385473980238
0.004,1.0128205128205128,13832,867,3473,645885200,4.02383E7,48732100,0.05984276601620961,0.18606324447835992,0.1914385473980238
0.002,1.0128205128205128,713,867,3473,35957800,3.82468E7,48732100,0.18836768322623465,0.18606324447835992,0.1914385473980238
0.001,1.0128205128205128,13890,867,3473,686453800,4.01049E7,48732100,0.059750925811829725,0.18606324447835992,0.1914385473980238
5.0E-4,1.0128205128205128,13630,867,3473,638311000,4.32754E7,48732100,0.061402849747677096,0.18606324447835992,0.1914385473980238
2.5E-4,1.0128205128205128,13785,741,3473,694430700,3.32192E7,48732100,0.060337854512059697,0.1879829220930841,0.1914385473980238
1.25E-4,1.0128205128205128,13897,634,3473,653732600,2.86596E7,48732100,0.05961308652456804,0.18945884798542323,0.1914385473980238
6.25E-5,1.0128205128205128,13630,12372,3473,629035900,8.456475E8,48732100,0.06174977070760865,0.05964678602985335,0.1914385473980238
3.125E-5,1.0128205128205128,13781,1302,3473,782860100,6.62252E7,48732100,0.06043595613343289,0.18017008216222086,0.1914385473980238
1.5625E-5,1.0128205128205128,13840,878,3473,682064500,4.05626E7,48732100,0.06010729179061611,0.18600306753520623,0.1914385473980238
1.024,1.5256410256410255,1362,1496,8720,62157700,6.58985E7,125163100,3.981157965833315E-4,4.018710153517735E-4,4.06980120034095E-4
0.512,1.5256410256410255,1362,1496,8720,62744300,6.97514E7,125163100,3.981157965833315E-4,4.018710153517735E-4,4.06980120034095E-4
0.256,1.5256410256410255,1362,1496,8720,63388600,6.76705E7,125163100,3.981157965833315E-4,4.018710153517735E-4,4.06980120034095E-4
0.128,1.5256410256410255,1362,1496,8720,61907300,6.61211E7,125163100,3.981157965833315E-4,4.018710153517735E-4,4.06980120034095E-4
0.064,1.5256410256410255,1362,1496,8720,70830600,6.58258E7,125163100,3.981157965833315E-4,4.018710153517735E-4,4.06980120034095E-4
0.032,1.5256410256410255,1362,1496,8720,64261800,7.09495E7,125163100,3.981157965833315E-4,4.018710153517735E-4,4.06980120034095E-4
0.016,1.5256410256410255,1586,1496,8720,74055600,6.95127E7,125163100,4.018186873441798E-4,4.018710153517735E-4,4.06980120034095E-4
0.008,1.5256410256410255,1654,1496,8720,79879500,8.04158E7,125163100,4.047678533264376E-4,4.018710153517735E-4,4.06980120034095E-4
0.004,1.5256410256410255,1470,1496,8720,79722300,7.61413E7,125163100,4.023140038983408E-4,4.018710153517735E-4,4.06980120034095E-4
0.002,1.5256410256410255,1493,1496,8720,76214600,7.20161E7,125163100,4.0082872582658524E-4,4.018710153517735E-4,4.06980120034095E-4
0.001,1.5256410256410255,1493,1394,8720,68368300,6.31276E7,125163100,4.0082872582658524E-4,4.0127542488313517E-4,4.06980120034095E-4
5.0E-4,1.5256410256410255,1274,1394,8720,63444500,6.62751E7,125163100,4.020126634339538E-4,4.0127542488313517E-4,4.06980120034095E-4
2.5E-4,1.5256410256410255,1269,1394,8720,60863100,6.40779E7,125163100,3.999848712767373E-4,4.0127542488313517E-4,4.06980120034095E-4
1.25E-4,1.5256410256410255,1528,1455,8720,70575100,6.36789E7,125163100,4.038856826485415E-4,3.9645761302847804E-4,4.06980120034095E-4
6.25E-5,1.5256410256410255,1602,1507,8720,78450500,6.70461E7,125163100,4.050285606297943E-4,4.0135030454252485E-4,4.06980120034095E-4
3.125E-5,1.5256410256410255,1715,1638,8720,80784000,7.5187E7,125163100,4.027169765958849E-4,4.0241600532464616E-4,4.06980120034095E-4
1.5625E-5,1.5256410256410255,1683,1647,8720,90464900,7.93745E7,125163100,4.04598521005356E-4,4.0091395487626413E-4,4.06980120034095E-4
1.024,2.0384615384615383,1166,966,6819,51588400,4.48672E7,94952400,2.0594615619723422E-4,2.0465373220529548E-4,2.034999280564609E-4
0.512,2.0384615384615383,1166,966,6819,51207900,4.56928E7,94952400,2.0594615619723422E-4,2.0465373220529548E-4,2.034999280564609E-4
0.256,2.0384615384615383,1166,966,6819,54037400,4.5357E7,94952400,2.0594615619723422E-4,2.0465373220529548E-4,2.034999280564609E-4
