Precision,Alpha,P4 iter,GSS iter,ref iter,P4 time,GSS time,ref time,P4 residual cong,GSS residual cong,ref residual cong
1.024,0.5,4,4,101,249700,193900.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.512,0.5,4,4,101,259400,192900.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.256,0.5,4,4,101,242300,195200.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.128,0.5,4,4,101,245500,197700.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.064,0.5,4,4,101,283900,266900.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.032,0.5,4,4,101,266200,206100.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.016,0.5,4,4,101,258900,198900.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.008,0.5,4,4,101,239500,192500.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.004,0.5,4,4,101,303200,240300.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.002,0.5,4,4,101,629100,538600.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
0.001,0.5,4,4,101,669900,429900.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
5.0E-4,0.5,4,4,101,886300,304900.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
2.5E-4,0.5,4,4,101,243800,193500.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
1.25E-4,0.5,4,4,101,241100,192600.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
6.25E-5,0.5,4,4,101,243800,205300.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
3.125E-5,0.5,4,4,101,240100,192900.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
1.5625E-5,0.5,5,4,101,314100,247100.0,1509400,0.4208771938512459,0.4247251477985494,0.49428393276183413
1.024,1.0128205128205128,298,388,2553,12922200,1.66076E7,37771000,0.18873416351107847,0.18712020144931046,0.19077626413133636
0.512,1.0128205128205128,298,388,2553,13324500,1.66437E7,37771000,0.18873416351107847,0.18712020144931046,0.19077626413133636
0.256,1.0128205128205128,298,388,2553,14198200,1.64604E7,37771000,0.18873416351107847,0.18712020144931046,0.19077626413133636
0.128,1.0128205128205128,298,388,2553,13754300,1.7803E7,37771000,0.18873416351107847,0.18712020144931046,0.19077626413133636
0.064,1.0128205128205128,761,10072,2553,36214300,4.569592E8,37771000,0.18309679849833643,0.04808163110431063,0.19077626413133636
0.032,1.0128205128205128,761,10072,2553,32779600,4.697661E8,37771000,0.18309679849833643,0.04808163110431063,0.19077626413133636
0.016,1.0128205128205128,603,10072,2553,27688100,4.732467E8,37771000,0.18368705686888942,0.04808163110431063,0.19077626413133636
0.008,1.0128205128205128,413,10072,2553,17668900,4.63179E8,37771000,0.18967630332657254,0.04808163110431063,0.19077626413133636
0.004,1.0128205128205128,413,10072,2553,17623500,4.655671E8,37771000,0.18967630332657254,0.04808163110431063,0.19077626413133636
0.002,1.0128205128205128,250,10072,2553,11128400,4.970376E8,37771000,0.18948536564140095,0.04808163110431063,0.19077626413133636
0.001,1.0128205128205128,412,10072,2553,18634300,4.741785E8,37771000,0.18918516867005053,0.04808163110431063,0.19077626413133636
5.0E-4,1.0128205128205128,753,10072,2553,32432100,5.068714E8,37771000,0.18352360532530343,0.04808163110431063,0.19077626413133636
2.5E-4,1.0128205128205128,760,10081,2553,36875200,4.636563E8,37771000,0.18342424975644533,0.048092743670791194,0.19077626413133636
1.25E-4,1.0128205128205128,392,667,2553,20622000,3.10427E7,37771000,0.19029445491174646,0.18446735359317823,0.19077626413133636
6.25E-5,1.0128205128205128,777,10077,2553,34170700,4.680681E8,37771000,0.18304210083698896,0.04813288710977637,0.19077626413133636
3.125E-5,1.0128205128205128,768,500,2553,33494000,2.04688E7,37771000,0.18316266180207175,0.18768112588364128,0.19077626413133636
1.5625E-5,1.0128205128205128,807,722,2553,35617600,3.35607E7,37771000,0.18305582011699129,0.18357885007586167,0.19077626413133636
1.024,1.5256410256410255,965,936,6611,43507000,4.23107E7,92424500,5.256127745601469E-4,5.241486531367134E-4,5.361711211103459E-4
0.512,1.5256410256410255,965,936,6611,41378200,4.2017E7,92424500,5.256127745601469E-4,5.241486531367134E-4,5.361711211103459E-4
0.256,1.5256410256410255,965,936,6611,45493200,4.15572E7,92424500,5.256127745601469E-4,5.241486531367134E-4,5.361711211103459E-4
0.128,1.5256410256410255,965,936,6611,42283600,4.0702E7,92424500,5.256127745601469E-4,5.241486531367134E-4,5.361711211103459E-4
0.064,1.5256410256410255,1097,1083,6611,47163100,4.81093E7,92424500,5.205997273373952E-4,5.188631089610429E-4,5.361711211103459E-4
